NCBI	Name	contrast	z.ratio	padj
1093	Macellibacteroides	Sexo1 Dieta0 - Sexo1 Dieta1	2.7859643733934556	0.14053235233714245
1093	Macellibacteroides	Sexo0 Dieta1 - Sexo1 Dieta1	1.575285925195297	0.6164852981485464
1095	Odoribacter	Sexo0 Dieta0 - Sexo1 Dieta0	-2.187743703747723	0.3506653607259036
1095	Odoribacter	Sexo0 Dieta0 - Sexo0 Dieta1	-0.2538892932638295	0.9998351656992472
1095	Odoribacter	Sexo0 Dieta0 - Sexo1 Dieta1	-0.31853923211448715	0.9998351656992472
1095	Odoribacter	Sexo1 Dieta0 - Sexo0 Dieta1	2.159905965390287	0.3506653607259036
1095	Odoribacter	Sexo1 Dieta0 - Sexo1 Dieta1	2.034417681384464	0.3506653607259036
1095	Odoribacter	Sexo0 Dieta1 - Sexo1 Dieta1	-0.07719174553520554	0.9998351656992472
1096	Paludibacter	Sexo0 Dieta0 - Sexo1 Dieta0	-2.3327538930758402	0.3714931763002145
1096	Paludibacter	Sexo0 Dieta0 - Sexo0 Dieta1	-0.39261006462304354	0.9794769638666456
1096	Paludibacter	Sexo0 Dieta0 - Sexo1 Dieta1	-1.190801366633859	0.9490084609235676
1096	Paludibacter	Sexo1 Dieta0 - Sexo0 Dieta1	2.197654049215758	0.3714931763002145
1096	Paludibacter	Sexo1 Dieta0 - Sexo1 Dieta1	1.3215476408662457	0.9490084609235676
1096	Paludibacter	Sexo0 Dieta1 - Sexo1 Dieta1	-0.9003204888473813	0.9655899563420183
1097	Parabacteroides	Sexo0 Dieta0 - Sexo1 Dieta0	-1.306114983308807	0.9995879878838456
1097	Parabacteroides	Sexo0 Dieta0 - Sexo0 Dieta1	-0.7121904090104837	0.9995879878838456
1097	Parabacteroides	Sexo0 Dieta0 - Sexo1 Dieta1	-0.7918298641688741	0.9995879878838456
1097	Parabacteroides	Sexo1 Dieta0 - Sexo0 Dieta1	0.7096461898425593	0.9995879878838456
1097	Parabacteroides	Sexo1 Dieta0 - Sexo1 Dieta1	0.597236331986079	0.9995879878838456
1097	Parabacteroides	Sexo0 Dieta1 - Sexo1 Dieta1	-0.10482491544292058	0.9995879878838456
1098	Petrimonas	Sexo0 Dieta0 - Sexo1 Dieta0	-0.722166722260914	0.9898386139085811
1098	Petrimonas	Sexo0 Dieta0 - Sexo0 Dieta1	-0.30833577893742165	0.9898386139085811
1098	Petrimonas	Sexo0 Dieta0 - Sexo1 Dieta1	0.7311002561896762	0.9898386139085811
1098	Petrimonas	Sexo1 Dieta0 - Sexo0 Dieta1	0.4759871024058034	0.9898386139085811
1098	Petrimonas	Sexo1 Dieta0 - Sexo1 Dieta1	1.500826062174952	0.9898386139085811
1098	Petrimonas	Sexo0 Dieta1 - Sexo1 Dieta1	1.1280408326650329	0.9898386139085811
1099	Porphyromonas	Sexo0 Dieta0 - Sexo1 Dieta0	-1.907461221680461	0.9729600348042041
1099	Porphyromonas	Sexo0 Dieta0 - Sexo0 Dieta1	-0.6413672397919212	0.9729600348042041
1099	Porphyromonas	Sexo0 Dieta0 - Sexo1 Dieta1	-1.0142769258467457	0.9729600348042041
1099	Porphyromonas	Sexo1 Dieta0 - Sexo0 Dieta1	1.4644393081930775	0.9729600348042041
1099	Porphyromonas	Sexo1 Dieta0 - Sexo1 Dieta1	1.032517260374846	0.9729600348042041
1099	Porphyromonas	Sexo0 Dieta1 - Sexo1 Dieta1	-0.43214421123745195	0.9729600348042041
110	Acidobacteria_Gp23	Sexo0 Dieta0 - Sexo1 Dieta0	0.8738315878674112	0.9976063967892868
110	Acidobacteria_Gp23	Sexo0 Dieta0 - Sexo0 Dieta1	1.6849559518677195	0.9976063967892868
110	Acidobacteria_Gp23	Sexo0 Dieta0 - Sexo1 Dieta1	0.7408780526433838	0.9976063967892868
110	Acidobacteria_Gp23	Sexo1 Dieta0 - Sexo0 Dieta1	0.7278218403985316	0.9976063967892868
110	Acidobacteria_Gp23	Sexo1 Dieta0 - Sexo1 Dieta1	-0.18902499029905914	0.9976063967892868
110	Acidobacteria_Gp23	Sexo0 Dieta1 - Sexo1 Dieta1	-0.9853351422115365	0.9976063967892868
1100	Proteiniphilum	Sexo0 Dieta0 - Sexo1 Dieta0	-0.8850368275911521	0.9801893502131668
1100	Proteiniphilum	Sexo0 Dieta0 - Sexo0 Dieta1	-0.5722015701412588	0.9801893502131668
1100	Proteiniphilum	Sexo0 Dieta0 - Sexo1 Dieta1	0.40165659185331193	0.9801893502131668
1100	Proteiniphilum	Sexo1 Dieta0 - Sexo0 Dieta1	0.3878352836408813	0.9801893502131668
1100	Proteiniphilum	Sexo1 Dieta0 - Sexo1 Dieta1	1.3459453884058077	0.9801893502131668
